order_id,platform,slug,b_name,vb_name,order_date,transaction_type,payout_id,payout_date,net_payout,lost_sale
O-066024950191015,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,12-01-2024,ERROR_CHARGE_INACCURATE,24011917XwqkMFF,2024-01-17T10:32:56.283Z,-19.34,0
O-066024950191015,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,12-01-2024,DELIVERY,24011917XwqkMFF,2024-01-17T10:32:56.283Z,16.6,0
O-066124948618162,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,12-01-2024,ERROR_CHARGE_INACCURATE,240119178qaHZBW,2024-01-17T11:13:31.627Z,-14.75,0
O-066124948618162,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,12-01-2024,DELIVERY,240119178qaHZBW,2024-01-17T11:13:31.627Z,17.65,0
O-122624935940123,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,11-01-2024,DELIVERY,24011917XwqkMFF,2024-01-17T10:32:56.283Z,14.09,0
O-122624935940123,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,11-01-2024,ERROR_CHARGE_INACCURATE,24011917XwqkMFF,2024-01-17T10:32:56.283Z,-7.74,0
O-176924962021349,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,13-01-2024,ERROR_CHARGE_INACCURATE,240119178qaHZBW,2024-01-17T11:13:31.627Z,-8.15,0
O-176924962021349,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,13-01-2024,DELIVERY,240119178qaHZBW,2024-01-17T11:13:31.627Z,36.61,0
O-300324698662289,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,18-12-2023,ADJUSTMENT,24011210XwqkMFF,2024-01-10T10:32:37.845Z,16.69,0
O-300324698662289,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,18-12-2023,DELIVERY,23122220XwqkMFF,2023-12-20T10:30:58.476Z,20.75,0
O-300324698662289,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,18-12-2023,ERROR_CHARGE_INACCURATE,23122220XwqkMFF,2023-12-20T10:30:58.476Z,-18.06,0
O-319624784512174,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,26-12-2023,ERROR_CHARGE_CANCELLED,240105018qaHZBW,2024-01-01T05:59:59.000Z,-23.81,0
O-319624784512174,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,26-12-2023,DELIVERY,240105018qaHZBW,2024-01-01T05:59:59.000Z,23.81,0
O-388924977924113,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,14-01-2024,ERROR_CHARGE_INACCURATE,24011917XwqkMFF,2024-01-17T10:32:56.283Z,-0.64,0
O-388924977924113,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,14-01-2024,DELIVERY,24011917XwqkMFF,2024-01-17T10:32:56.283Z,18.27,0
O-416424872052926,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,05-01-2024,ADJUSTMENT,,,9.78,0
O-416424872052926,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,05-01-2024,DELIVERY,24011210XwqkMFF,2024-01-10T10:32:37.845Z,10.07,0
O-416424872052926,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,05-01-2024,ERROR_CHARGE_CANCELLED,24011210XwqkMFF,2024-01-10T10:32:37.845Z,-10.07,0
O-501624802342475,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,28-12-2023,DELIVERY,24010501XwqkMFF,2024-01-01T05:59:59.000Z,17.19,0
O-501624802342475,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,28-12-2023,ERROR_CHARGE_CANCELLED,24010501XwqkMFF,2024-01-01T05:59:59.000Z,-17.19,0
O-567024829409727,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,30-12-2023,DELIVERY,240105018qaHZBW,2024-01-01T05:59:59.000Z,22.91,0
O-567024829409727,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,30-12-2023,ERROR_CHARGE_INACCURATE,240105018qaHZBW,2024-01-01T05:59:59.000Z,-14.49,0
O-567024829409727,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,30-12-2023,ADJUSTMENT,240119178qaHZBW,2024-01-17T11:13:31.627Z,14.49,0
O-675724849748799,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,01-01-2024,DELIVERY,24010503XwqkMFF,2024-01-03T10:25:46.334Z,19.39,0
O-675724849748799,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,01-01-2024,ADJUSTMENT,,,17.28,0
O-675724849748799,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,01-01-2024,ERROR_CHARGE_INACCURATE,24010503XwqkMFF,2024-01-03T10:25:46.334Z,-18.7,0
O-679024899563543,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,06-01-2024,DELIVERY,240112108qaHZBW,2024-01-10T11:11:51.135Z,23.73,0
O-679024899563543,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,06-01-2024,ERROR_CHARGE_INACCURATE,240112108qaHZBW,2024-01-10T11:11:51.135Z,-15.03,0
O-827524727128352,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,21-12-2023,DELIVERY,23122927XwqkMFF,2023-12-27T10:26:27.411Z,27.68,0
O-827524727128352,Grubhub,sandbox_6840040_gh,Blissful Buffet,CulinaCraft,21-12-2023,ERROR_CHARGE_INACCURATE,23122927XwqkMFF,2023-12-27T10:26:27.411Z,-16.13,0
O-899624818066746,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,30-12-2023,ADJUSTMENT,240119178qaHZBW,2024-01-17T11:13:31.627Z,22.8,0
O-899624818066746,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,30-12-2023,ERROR_CHARGE_INACCURATE,240105018qaHZBW,2024-01-01T05:59:59.000Z,-22.8,0
O-899624818066746,Grubhub,sandbox_3237275_gh,Artisan Alchemy,ZestfulZenith,30-12-2023,DELIVERY,240105018qaHZBW,2024-01-01T05:59:59.000Z,20.81,0
